"Variable","Categoria","Frecuencia","Porcentaje","Prevalencia_SO_pct"
"EDADNEW","1",3087,22.81,27.18
"EDADNEW","2",10449,77.19,62.35
"EDAD_2GRUPOS","18–29",4517,33.37,33.21
"EDAD_2GRUPOS","30–64",9019,66.63,64.91
"SEXO_NEW","Hombre",5675,41.93,51.37
"SEXO_NEW","Mujer",7861,58.07,56.47
"ETNIA_NEW","No minoría",12087,89.3,54.07
"ETNIA_NEW","Minoría étnica",1449,10.7,56.52
"SISBEN_NEW","Sisbén 1–3",8250,60.95,53.56
"SISBEN_NEW","Sisbén 4–6",5286,39.05,55.52
"ESCOLARIDAD_NEW","Básica/Media",10317,76.46,55.28
"ESCOLARIDAD_NEW","Téc/Univ/Pos",3177,23.54,51.02
"OCUPACION_NEW","Inactivo",5344,39.48,51.78
"OCUPACION_NEW","Activo",8192,60.52,55.99
"DISCAPACIDAD_NEW","No",12783,94.44,53.97
"DISCAPACIDAD_NEW","Sí",753,5.56,60.42
"TLMEETT_NEW","No cumple",10786,79.68,55.48
"TLMEETT_NEW","Cumple",2750,20.32,49.82
